"","SU_ID","P_PANEL","NATIONAL_WEIGHT","REGION_WEIGHT","NATIONAL_WEIGHT_POP","REGION_WEIGHT_POP","P_GEO","SOC1","SOC2A","SOC2B","SOC3A","SOC3B","SOC4A","SOC4B","PHYS8","PHYS1A","PHYS1B","PHYS1C","PHYS1D","PHYS1E","PHYS1F","PHYS1G","PHYS1H","PHYS1I","PHYS1J","PHYS1K","PHYS1L","PHYS1M","PHYS1N","PHYS1O","PHYS1P","PHYS1Q","SOC5A","SOC5B","SOC5C","SOC5D","SOC5E","PHYS2_1","PHYS2_2","PHYS2_3","PHYS2_4","PHYS2_5","PHYS2_6","PHYS2_7","PHYS2_8","PHYS2_9","PHYS2_10","PHYS2_11","PHYS2_12","PHYS2_13","PHYS2_14","PHYS2_15","PHYS2_16","PHYS2_17","PHYS2_18","PHYS2_19","PHYS2_DK","PHYS2_SKP","PHYS2_REF","PHYS10A","PHYS10B","PHYS10C","PHYS10D","PHYS10E","ECON8A","ECON8B","ECON8C","ECON8D","ECON8E","ECON8F","ECON8G","ECON8H","ECON8I","ECON8J","ECON8K","ECON8L","ECON8M","ECON8N","ECON8O","ECON8P","ECON8Q","ECON8R","ECON8S","ECON7_1","ECON7_2","ECON7_3","ECON7_4","ECON7_5","ECON7_6","ECON7_7","ECON7_8","ECON7_DK","ECON7_SKP","ECON7_REF","ECON1","ECON4","ECON4A","ECON4B","ECON6A","ECON6B","ECON6C","ECON6D","ECON6E","ECON6F","ECON6G","ECON6H","ECON6I","ECON6J","ECON6K","ECON6L","ECON5A_A","ECON5A_B","PHYS7_1","PHYS7_2","PHYS7_3","PHYS7_4","PHYS7_DK","PHYS7_SKP","PHYS7_REF","PHYS11","PHYS9A","PHYS9B","PHYS9C","PHYS9D","PHYS9E","PHYS9F","PHYS9G","PHYS9H","PHYS3A","PHYS3B","PHYS3C","PHYS3D","PHYS3E","PHYS3F","PHYS3G","PHYS3H","PHYS3I","PHYS3J","PHYS3K","PHYS3L","PHYS3M","PHYS4","PHYS5","PHYS6","AGE4","AGE7","GENDER","RACETH","RACE_R2","EDUCATION","EDUC4","HHSIZE1","REGION4","REGION9","P_DENSE","MODE","LANGUAGE","MAIL50","RACE1_BANNER","INC_BANNER","AGE_BANNER","HH_BANNER","ECON2","ECON3","PHYS11_TEMP","HHINCOME","HH01S","HH25S","HH612S","HH1317S","HH18OVS"
"1","0020001173","ABS",NA,1.2186479593,NA,41103.599135,"(8) New York",3,4,4,1,1,2,2,3,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,3,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,0,0,0,0,0,0,0,0,3,7,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2,3,0,1,0,0,0,0,0,1,2,2,2,1,2,2,2,1,2,2,2,1,2,1,2,1,2,2,2,2,1,1,2,2,2,3,2,1,1,3,3,4,1,2,3,2,1,3,1,1,2,4,NA,"40","98.6",3,0,1,0,2,1
"2","0020002089","ABS",NA,0.2288672136,NA,3127.8674017,"(17) Phoenix-Mesa-Chandler, Arizona",3,3,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,2,3,3,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,3,2,5,5,4,4,4,1,4,1,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,4,6,1,1,1,5,4,2,4,8,3,2,1,2,1,4,3,2,NA,"0","98.5",9,0,0,0,0,2
"3","0020002704","ABS",NA,0.2516591634,NA,1960.94297,"(9) Oregon",3,3,3,1,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,2,NA,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,4,6,1,NA,1,5,4,2,4,9,3,2,1,1,NA,4,3,2,NA,"40",NA,9,0,0,0,0,2
"4","0020002713","ABS",NA,0.2072216544,NA,958.49122676,"(18) Pittsburgh, Pennsylvania",3,2,2,1,1,2,1,3,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,1,1,1,2,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,5,5,4,2,2,2,2,1,2,1,2,2,2,1,1,2,2,1,1,2,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,3,2,3,3,4,4,4,1,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,4,6,1,2,2,5,4,2,1,2,3,2,1,1,2,3,3,2,NA,"16",NA,7,0,0,0,0,2
"5","0020003003","ABS",NA,3.3859556252,NA,10720.255694,"(15) Cleveland-Elyria, Ohio",3,1,1,1,1,2,2,3,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,4,4,4,2,1,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,3,2,2,1,4,4,4,1,4,1,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,2,1,2,2,1,2,2,2,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,4,6,1,1,1,2,2,2,2,3,3,2,1,1,1,3,3,2,NA,"25","98",7,0,0,0,0,2
"6","0020006220","ABS",NA,1.1174670923,NA,5168.7764355,"(18) Pittsburgh, Pennsylvania",2,3,3,1,1,1,1,2,2,2,2,2,1,2,NA,2,2,NA,2,1,NA,2,2,2,2,2,4,4,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,5,4,3,1,1,1,2,1,2,1,1,2,1,2,1,1,2,2,1,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,NA,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,NA,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,1,1,1,6,4,2,1,2,3,2,1,1,1,3,2,2,"60","50","98.6",7,0,0,0,0,2
"7","0020006397","ABS",NA,0.7646334145,NA,26699.388256,"(3) Florida",2,4,3,1,1,2,2,NA,1,2,1,2,1,2,2,2,2,1,2,2,2,1,1,2,2,3,4,4,3,3,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,3,2,5,5,4,3,4,1,1,1,4,4,4,4,4,4,1,2,0,0,0,1,0,0,0,1,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,1,2,2,2,1,1,2,2,2,3,4,2,3,2,5,4,4,3,5,3,2,2,2,3,1,2,5,NA,"0","95",2,0,0,0,0,4
"8","0020009247","ABS",NA,0.5176443399,NA,8221.3415037,"(14) Chicago-Naperville-Elgin, Illinois-Indiana-Wisconsin",3,3,3,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,4,4,1,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,1,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,NA,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,4,5,1,1,1,5,4,2,2,3,3,2,1,2,1,4,2,2,"40","40",NA,9,0,0,0,0,2
"9","0020009661","ABS",NA,4.0640844566,NA,12867.2757,"(15) Cleveland-Elyria, Ohio",1,4,5,3,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,NA,1,2,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,0,0,1,0,0,0,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,3,3,2,1,1,2,1,2,1,"10","20",NA,1,0,0,0,0,1
"10","0020010373","ABS",NA,1.1222150238,NA,2246.3549954,"(7) Montana",3,4,3,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,3,3,4,3,2,1,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,NA,1,2,2,4,4,4,4,4,1,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,NA,1,2,2,2,2,2,2,2,2,2,2,2,1,NA,1,5,4,3,4,8,2,2,1,1,NA,3,2,3,"35","55","97.6",8,0,0,1,0,2
