Category: All categories

Day,mental health resources: (United States)
2019-11-24,27
2019-11-25,43
2019-11-26,24
2019-11-27,31
2019-11-28,13
2019-11-29,13
2019-11-30,26
2019-12-01,22
2019-12-02,33
2019-12-03,34
2019-12-04,35
2019-12-05,29
2019-12-06,20
2019-12-07,23
2019-12-08,22
2019-12-09,39
2019-12-10,28
2019-12-11,27
2019-12-12,50
2019-12-13,35
2019-12-14,32
2019-12-15,14
2019-12-16,23
2019-12-17,31
2019-12-18,40
2019-12-19,12
2019-12-20,25
2019-12-21,29
2019-12-22,24
2019-12-23,20
2019-12-24,28
2019-12-25,16
2019-12-26,14
2019-12-27,26
2019-12-28,14
2019-12-29,0
2019-12-30,25
2019-12-31,26
2020-01-01,0
2020-01-02,24
2020-01-03,20
2020-01-04,26
2020-01-05,0
2020-01-06,23
2020-01-07,27
2020-01-08,27
2020-01-09,35
2020-01-10,23
2020-01-11,26
2020-01-12,19
2020-01-13,21
2020-01-14,30
2020-01-15,36
2020-01-16,28
2020-01-17,35
2020-01-18,13
2020-01-19,35
2020-01-20,20
2020-01-21,42
2020-01-22,45
2020-01-23,27
2020-01-24,34
2020-01-25,20
2020-01-26,12
2020-01-27,22
2020-01-28,34
2020-01-29,38
2020-01-30,46
2020-01-31,19
2020-02-01,18
2020-02-02,13
2020-02-03,41
2020-02-04,37
2020-02-05,38
2020-02-06,41
2020-02-07,35
2020-02-08,33
2020-02-09,13
2020-02-10,26
2020-02-11,40
2020-02-12,33
2020-02-13,26
2020-02-14,43
2020-02-15,20
2020-02-16,33
2020-02-17,31
2020-02-18,33
2020-02-19,33
2020-02-20,18
2020-02-21,26
2020-02-22,21
2020-02-23,17
2020-02-24,54
2020-02-25,43
2020-02-26,28
2020-02-27,50
2020-02-28,44
2020-02-29,25
2020-03-01,21
2020-03-02,18
2020-03-03,32
2020-03-04,58
2020-03-05,18
2020-03-06,33
2020-03-07,22
2020-03-08,25
2020-03-09,21
2020-03-10,32
2020-03-11,21
2020-03-12,34
2020-03-13,32
2020-03-14,17
2020-03-15,18
2020-03-16,46
2020-03-17,35
2020-03-18,50
2020-03-19,100
2020-03-20,49
2020-03-21,16
2020-03-22,18
2020-03-23,46
2020-03-24,74
2020-03-25,64
2020-03-26,29
2020-03-27,34
2020-03-28,32
2020-03-29,27
2020-03-30,54
2020-03-31,60
2020-04-01,40
2020-04-02,47
2020-04-03,82
2020-04-04,35
2020-04-05,43
2020-04-06,50
2020-04-07,76
2020-04-08,58
2020-04-09,61
2020-04-10,21
2020-04-11,16
2020-04-12,24
2020-04-13,44
2020-04-14,50
2020-04-15,55
2020-04-16,42
2020-04-17,52
2020-04-18,30
2020-04-19,19
2020-04-20,36
2020-04-21,46
2020-04-22,43
2020-04-23,45
2020-04-24,29
2020-04-25,23
2020-04-26,31
2020-04-27,40
2020-04-28,53
2020-04-29,56
2020-04-30,28
2020-05-01,37
2020-05-02,12
2020-05-03,32
2020-05-04,62
2020-05-05,34
2020-05-06,60
2020-05-07,51
2020-05-08,57
2020-05-09,27
2020-05-10,12
2020-05-11,34
2020-05-12,47
2020-05-13,64
2020-05-14,33
2020-05-15,34
2020-05-16,12
2020-05-17,24
2020-05-18,13
2020-05-19,44
2020-05-20,37
2020-05-21,31
2020-05-22,21
